movie	Harry Potter and the Deathly Hallows: Part 2	2011
director	Yates, David	Harry Potter and the Deathly Hallows: Part 2	2011
actress	Paradise, Ariella	Harry Potter and the Deathly Hallows: Part 2	2011	Young Petunia Dursley
actress	Phillips, Sian Grace	Harry Potter and the Deathly Hallows: Part 2	2011	Screaming Girl
actress	Po�sy, Cl�mence	Harry Potter and the Deathly Hallows: Part 2	2011	Fleur Delacour
actress	Laughland, Isabella	Harry Potter and the Deathly Hallows: Part 2	2011	Leanne
actress	Leonidas, Georgina	Harry Potter and the Deathly Hallows: Part 2	2011	Katie Bell
actress	Leung, Katie	Harry Potter and the Deathly Hallows: Part 2	2011	Cho Chang
actress	Lynch, Evanna	Harry Potter and the Deathly Hallows: Part 2	2011	Luna Lovegood
actress	Macdonald, Kelly	Harry Potter and the Deathly Hallows: Part 2	2011	Helena Ravenclaw
actress	Margolyes, Miriam	Harry Potter and the Deathly Hallows: Part 2	2011	Professor Pomona Sprout
actress	McCrory, Helen	Harry Potter and the Deathly Hallows: Part 2	2011	Narcissa Malfoy
actress	McGhie, Penelope	Harry Potter and the Deathly Hallows: Part 2	2011	Death Eater
actress	McGuire, Ashley	Harry Potter and the Deathly Hallows: Part 2	2011	Death Eater
actress	Tena, Natalia	Harry Potter and the Deathly Hallows: Part 2	2011	Nymphadora Tonks
actress	Thompson, Emma	Harry Potter and the Deathly Hallows: Part 2	2011	Professor Sybil Trelawney
actress	Toase, Suzanne	Harry Potter and the Deathly Hallows: Part 2	2011	Alecto Carrow
actress	Walters, Julie	Harry Potter and the Deathly Hallows: Part 2	2011	Molly Weasley
actress	Watson, Emma	Harry Potter and the Deathly Hallows: Part 2	2011	Hermione Granger
actress	Wright, Bonnie	Harry Potter and the Deathly Hallows: Part 2	2011	Ginny Weasley
actress	Shaffer, Anna	Harry Potter and the Deathly Hallows: Part 2	2011	Romilda Vane
actress	Sharp, Judith	Harry Potter and the Deathly Hallows: Part 2	2011	Death Eater
actress	Smith, Maggie	Harry Potter and the Deathly Hallows: Part 2	2011	Professor Minerva McGonagall
actress	Somerville, Geraldine	Harry Potter and the Deathly Hallows: Part 2	2011	Lily Potter
actress	Evans, Amber	Harry Potter and the Deathly Hallows: Part 2	2011	Twin Girl 1
actress	Evans, Ruby	Harry Potter and the Deathly Hallows: Part 2	2011	Twin Girl 2
