movie	Star Wars: Episode II - Attack of the Clones	2002
director	Lucas, George	Star Wars: Episode II - Attack of the Clones	2002
actress	O'Neill Joti, Dipika	Star Wars: Episode II - Attack of the Clones	2002	Depa Billaba
actress	Owen, Rena	Star Wars: Episode II - Attack of the Clones	2002	Taun We
actress	Piesse, Bonnie	Star Wars: Episode II - Attack of the Clones	2002	Beru
actress	Porter, Susie	Star Wars: Episode II - Attack of the Clones	2002	Hermione Bagwa/WA-7
actress	Portman, Natalie	Star Wars: Episode II - Attack of the Clones	2002	Padm�
actress	McGrath, Alethea	Star Wars: Episode II - Attack of the Clones	2002	Madame Jocasta Nu
actress	Walsman, Leeanna	Star Wars: Episode II - Attack of the Clones	2002	Zam Wesell
actress	Yiamkiati, Phoebe	Star Wars: Episode II - Attack of the Clones	2002	Mari Amithest
actress	Segura, Veronica	Star Wars: Episode II - Attack of the Clones	2002	Cord�
actress	August, Pernilla	Star Wars: Episode II - Attack of the Clones	2002	Shmi Skywalker
actress	Byrne, Rose	Star Wars: Episode II - Attack of the Clones	2002	Dorm�
actress	Clarke, Gin	Star Wars: Episode II - Attack of the Clones	2002	Adi Gallia
actress	Cottrell, Michaela	Star Wars: Episode II - Attack of the Clones	2002	Even Piell
actress	Dharker, Ayesha	Star Wars: Episode II - Attack of the Clones	2002	Queen Jamillia
actor	Laga'aia, Jay	Star Wars: Episode II - Attack of the Clones	2002	Capt. Typho
actor	Lee, Christopher	Star Wars: Episode II - Attack of the Clones	2002	Count Dooku/Darth Tyranus
actor	Logan, Daniel	Star Wars: Episode II - Attack of the Clones	2002	Boba Fett
actor	McDiarmid, Ian	Star Wars: Episode II - Attack of the Clones	2002	Supreme Chancellor Palpatine
actor	McGregor, Ewan	Star Wars: Episode II - Attack of the Clones	2002	Obi-Wan Kenobi
actor	Morrison, Temuera	Star Wars: Episode II - Attack of the Clones	2002	Jango Fett
actor	Oz, Frank	Star Wars: Episode II - Attack of the Clones	2002	Yoda
actor	Phelan, Anthony	Star Wars: Episode II - Attack of the Clones	2002	Lama Su
actor	Taylor, Bodie	Star Wars: Episode II - Attack of the Clones	2002	Clone Trooper
actor	Thompson, Jack	Star Wars: Episode II - Attack of the Clones	2002	Cliegg Lars
actor	Rowan, Matt	Star Wars: Episode II - Attack of the Clones	2002	Senator Orn Free Taa
actor	Ruscoe, Alan	Star Wars: Episode II - Attack of the Clones	2002	Lott Dod
actor	Secombe, Andy	Star Wars: Episode II - Attack of the Clones	2002	Watto
actor	Shapi, Hassani	Star Wars: Episode II - Attack of the Clones	2002	Eeth Koth
actor	Shepherd, Steve John	Star Wars: Episode II - Attack of the Clones	2002	Naboo lieutenant
actor	Sloan, Matt	Star Wars: Episode II - Attack of the Clones	2002	Plo Koon
actor	Smits, Jimmy	Star Wars: Episode II - Attack of the Clones	2002	Senator Bail Organa
actor	Edgerton, Joel	Star Wars: Episode II - Attack of the Clones	2002	Owen Lars
actor	Falk, Ronald	Star Wars: Episode II - Attack of the Clones	2002	Dexter Jettster
actor	Ford Davies, Oliver	Star Wars: Episode II - Attack of the Clones	2002	Sio Bibble
actor	Jackson, Samuel L.	Star Wars: Episode II - Attack of the Clones	2002	Mace Windu
actor	Jensen, Zachariah	Star Wars: Episode II - Attack of the Clones	2002	Kit Fisto
actor	Knoll, Alex	Star Wars: Episode II - Attack of the Clones	2002	J.K. Burtola
actor	Baker, Kenny	Star Wars: Episode II - Attack of the Clones	2002	R2-D2
actor	Best, Ahmed	Star Wars: Episode II - Attack of the Clones	2002	Jar Jar Binks/Achk Med-Beq
actor	Blake, Jerome St. John	Star Wars: Episode II - Attack of the Clones	2002	Oppo Rancisis
actor	Bonfils, Khan	Star Wars: Episode II - Attack of the Clones	2002	Saesee Tiin
actor	Bowers, David	Star Wars: Episode II - Attack of the Clones	2002	Mas Amedda
actor	Boyle, Steven	Star Wars: Episode II - Attack of the Clones	2002	Senator Ask Aak/Passel Argente
actor	Carson, Silas	Star Wars: Episode II - Attack of the Clones	2002	Ki-Adi-Mundi/Viceroy Nute Gunray
actor	Christensen, Hayden	Star Wars: Episode II - Attack of the Clones	2002	Anakin Skywalker
actor	Daniels, Anthony	Star Wars: Episode II - Attack of the Clones	2002	C-3PO/Dannl Faytonni
actor	Doran, Matt	Star Wars: Episode II - Attack of the Clones	2002	Elan Sleazebaggano
movie	Star Wars: Episode III - Revenge of the Sith	2005
director	Lucas, George	Star Wars: Episode III - Revenge of the Sith	2005
